Log File,Test,Scaling,Count,Size,Average Time (s)
mpi_dot_product_strong.txt,mpi_dot_product_strong,strong,1,1000000,0.018967
mpi_dot_product_strong.txt,mpi_dot_product_strong,strong,2,1000000,0.009646
mpi_dot_product_strong.txt,mpi_dot_product_strong,strong,4,1000000,0.004877
mpi_dot_product_strong.txt,mpi_dot_product_strong,strong,8,1000000,0.002406
mpi_dot_product_strong.txt,mpi_dot_product_strong,strong,16,1000000,0.001197
mpi_dot_product_strong.txt,mpi_dot_product_strong,strong,32,1000000,0.000592
mpi_dot_product_strong.txt,mpi_dot_product_strong,strong,1,1000000,0.018951
mpi_dot_product_strong.txt,mpi_dot_product_strong,strong,2,1000000,0.009505
mpi_dot_product_strong.txt,mpi_dot_product_strong,strong,4,1000000,0.00488
mpi_dot_product_strong.txt,mpi_dot_product_strong,strong,8,1000000,0.002421
mpi_dot_product_strong.txt,mpi_dot_product_strong,strong,16,1000000,0.001209
mpi_dot_product_strong.txt,mpi_dot_product_strong,strong,32,1000000,0.000597
mpi_matrix_vector_strong.txt,mpi_matrix_vector_strong,strong,1,1000x1000,0.02202
mpi_matrix_vector_strong.txt,mpi_matrix_vector_strong,strong,1,1000x1000,0.021892
mpi_matrix_vector_strong.txt,mpi_matrix_vector_strong,strong,2,1000x1000,0.011211
mpi_matrix_vector_strong.txt,mpi_matrix_vector_strong,strong,4,1000x1000,0.005618
mpi_matrix_vector_strong.txt,mpi_matrix_vector_strong,strong,8,1000x1000,0.002813
mpi_matrix_vector_strong.txt,mpi_matrix_vector_strong,strong,16,1000x1000,0.001402
mpi_matrix_vector_strong.txt,mpi_matrix_vector_strong,strong,32,1000x1000,0.000722
mpi_matrix_vector_weak.txt,mpi_matrix_vector_weak,weak,1,1000x1000,0.021909
mpi_matrix_vector_weak.txt,mpi_matrix_vector_weak,weak,1,1000x1000,0.02193
mpi_matrix_vector_weak.txt,mpi_matrix_vector_weak,weak,2,2000x1000,0.021929
mpi_matrix_vector_weak.txt,mpi_matrix_vector_weak,weak,4,4000x1000,0.022476
mpi_matrix_vector_weak.txt,mpi_matrix_vector_weak,weak,8,8000x1000,0.021952
mpi_matrix_vector_weak.txt,mpi_matrix_vector_weak,weak,16,16000x1000,0.022282
mpi_matrix_vector_weak.txt,mpi_matrix_vector_weak,weak,32,32000x1000,0.022312
mpi_dot_product_weak.txt,mpi_dot_product_weak,weak,1,1000000,0.018885
mpi_dot_product_weak.txt,mpi_dot_product_weak,weak,2,2000000,0.01935
mpi_dot_product_weak.txt,mpi_dot_product_weak,weak,4,4000000,0.019252
mpi_dot_product_weak.txt,mpi_dot_product_weak,weak,8,8000000,0.019441
mpi_dot_product_weak.txt,mpi_dot_product_weak,weak,16,16000000,0.019775
mpi_dot_product_weak.txt,mpi_dot_product_weak,weak,32,32000000,0.019167
mpi_dot_product_weak.txt,mpi_dot_product_weak,weak,1,1000000,0.018942
mpi_dot_product_weak.txt,mpi_dot_product_weak,weak,2,2000000,0.018965
mpi_dot_product_weak.txt,mpi_dot_product_weak,weak,4,4000000,0.019304
mpi_dot_product_weak.txt,mpi_dot_product_weak,weak,8,8000000,0.019322
mpi_dot_product_weak.txt,mpi_dot_product_weak,weak,16,16000000,0.019445
mpi_dot_product_weak.txt,mpi_dot_product_weak,weak,32,32000000,0.018874
